file,vibration,vib_rms,vib_peak,vib_kurtosis
2003.10.23.01.44.13,0.1165356464,0.1165356464,0.5400000000,4.3753842238
2003.10.23.01.54.13,0.1156301861,0.1156301861,0.4690000000,4.2178881501
2003.10.23.02.04.13,0.1151869733,0.1151869733,0.5100000000,4.2331196465
2003.10.23.02.14.13,0.1166441464,0.1166441464,0.5270000000,4.2843821902
2003.10.23.02.24.13,0.1004217248,0.1004217248,0.4960000000,4.0977319940
2003.10.23.02.34.13,0.1165202150,0.1165202150,0.5830000000,4.6167617121
2003.10.23.02.44.13,0.1159413281,0.1159413281,0.5000000000,4.3572096155
2003.10.23.02.54.13,0.1152084869,0.1152084869,0.4470000000,4.2277038886
2003.10.23.03.04.13,0.1157692818,0.1157692818,0.4740000000,4.2497655088
2003.10.23.03.14.13,0.1154065221,0.1154065221,0.4830000000,4.0938819872
2003.10.23.03.24.13,0.1158674106,0.1158674106,0.6100000000,4.6075182997
2003.10.23.03.34.13,0.1149201398,0.1149201398,0.6470000000,4.3991318776
2003.10.23.03.44.13,0.1150338860,0.1150338860,0.4830000000,4.0449912290
2003.10.23.03.54.13,0.1152775671,0.1152775671,0.5000000000,4.2545072930
2003.10.23.04.04.13,0.1155254377,0.1155254377,0.4860000000,4.1428882269
2003.10.23.04.14.13,0.1158629911,0.1158629911,0.5470000000,4.1919174014
2003.10.23.04.24.13,0.1156517440,0.1156517440,0.4810000000,4.1381456865
2003.10.23.04.34.13,0.1155351610,0.1155351610,0.4910000000,4.3311462159
2003.10.23.04.44.13,0.1136932978,0.1136932978,0.5540000000,4.4994799140
2003.10.23.04.54.13,0.1203091440,0.1203091440,0.5220000000,4.0685164716
2003.10.23.05.04.13,0.1145470010,0.1145470010,0.5370000000,4.2129736046
2003.10.23.05.14.13,0.1145644996,0.1145644996,0.7030000000,4.4791522592
2003.10.23.05.24.13,0.1153107639,0.1153107639,0.4760000000,4.0733298013
2003.10.23.05.34.13,0.1149335319,0.1149335319,0.4470000000,4.0366567298
2003.10.23.05.44.13,0.1153427001,0.1153427001,0.4880000000,4.1800576696
2003.10.23.05.54.13,0.1151001112,0.1151001112,0.5180000000,4.4533262232
2003.10.23.06.04.13,0.1149098619,0.1149098619,0.5250000000,4.0907431382
2003.10.23.06.14.13,0.1149432365,0.1149432365,0.5470000000,4.2681468028
2003.10.23.06.24.13,0.1154209976,0.1154209976,0.6080000000,4.4546808446
2003.10.23.06.34.13,0.1142594118,0.1142594118,0.5690000000,4.2692704979
2003.10.23.06.44.13,0.1143437039,0.1143437039,0.4590000000,3.9231623665
2003.10.23.06.54.13,0.1150597688,0.1150597688,0.5520000000,4.3630917196
2003.10.23.07.04.13,0.1150734385,0.1150734385,0.5660000000,4.4297618370
2003.10.23.07.14.13,0.1148645109,0.1148645109,0.4810000000,3.9596119632
2003.10.23.07.24.13,0.1162712726,0.1162712726,0.4610000000,4.2808942285
2003.10.23.07.34.13,0.1144919075,0.1144919075,0.5540000000,4.3733521260
2003.10.23.07.44.13,0.1145563677,0.1145563677,0.4880000000,3.9679872713
2003.10.23.07.54.13,0.1142312600,0.1142312600,0.4930000000,4.2821791443
2003.10.23.08.04.13,0.1156163643,0.1156163643,0.6010000000,4.5235843076
2003.10.23.08.14.13,0.1152496041,0.1152496041,0.4690000000,4.1837142198
2003.10.23.08.24.13,0.1153814930,0.1153814930,0.5300000000,4.4947055632
2003.10.23.08.34.13,0.1154245327,0.1154245327,0.4610000000,4.1915362632
2003.10.23.08.44.13,0.1153057982,0.1153057982,0.4830000000,4.1098151618
2003.10.23.08.54.13,0.1142754169,0.1142754169,0.4740000000,4.3509228537
2003.10.23.09.04.13,0.1147696698,0.1147696698,0.4520000000,4.2981153662
2003.10.23.09.14.13,0.1155097432,0.1155097432,0.5150000000,4.3473333005
2003.10.23.09.24.13,0.1157134117,0.1157134117,0.4860000000,4.3340457369
2003.10.23.09.34.13,0.1152995121,0.1152995121,0.4710000000,4.0807160392
2003.10.23.09.44.13,0.1155628046,0.1155628046,0.5420000000,4.2051980264
2003.10.23.09.54.13,0.1160423763,0.1160423763,0.4640000000,3.9078816568
2003.10.23.10.04.13,0.1150424200,0.1150424200,0.5420000000,4.4008669348
2003.10.23.10.14.13,0.1880862578,0.1880862578,0.5540000000,4.2737784397
2003.10.29.14.39.46,0.1369559647,0.1369559647,0.5760000000,4.8981714891
2003.10.29.14.49.46,0.1364117569,0.1364117569,0.7570000000,5.0754651160
2003.10.29.14.59.46,0.1372903062,0.1372903062,0.5250000000,4.7595542622
2003.10.29.15.09.46,0.1355207531,0.1355207531,0.5810000000,4.6166793142
2003.10.29.15.19.46,0.1373024867,0.1373024867,0.5660000000,4.9198558750
2003.10.29.15.29.46,0.1376209062,0.1376209062,0.5790000000,4.7487413272
2003.10.29.15.39.46,0.2323066728,0.2323066728,0.6540000000,4.7992047975
2003.10.29.15.49.46,0.1365081637,0.1365081637,0.5860000000,4.6472410887
2003.10.29.15.59.46,0.1377345576,0.1377345576,0.7230000000,4.8414600783
2003.10.29.16.09.46,0.1376999136,0.1376999136,0.6100000000,5.2660821122
2003.10.29.16.19.46,0.1365828635,0.1365828635,0.6740000000,5.2898541951
2003.10.29.16.29.46,0.1383951842,0.1383951842,0.6450000000,5.1243480867
2003.10.29.16.39.46,0.1367534965,0.1367534965,0.5830000000,4.6000349009
2003.10.29.16.49.46,0.1363812583,0.1363812583,0.5570000000,4.5464168136
2003.10.29.16.59.46,0.1374835651,0.1374835651,0.6320000000,4.5889671789
2003.10.29.17.09.46,0.1368363924,0.1368363924,0.5540000000,4.8012540230
2003.10.29.17.19.46,0.1361642869,0.1361642869,0.5300000000,4.4954469403
2003.10.29.17.29.46,0.1380389392,0.1380389392,0.5520000000,4.8560300312
2003.10.29.17.39.46,0.1367611668,0.1367611668,0.6740000000,4.8194183725
2003.10.29.17.49.46,0.1381238408,0.1381238408,0.5270000000,4.4028394780
2003.10.29.17.59.46,0.1379480695,0.1379480695,0.7080000000,4.6093714752
2003.10.29.18.09.46,0.1375356731,0.1375356731,0.5830000000,5.0170894349
2003.10.29.18.19.46,0.1370994496,0.1370994496,0.4980000000,4.5766591473
2003.10.29.18.29.46,0.1375307943,0.1375307943,0.5420000000,4.7009260333
2003.10.29.18.39.46,0.1376596458,0.1376596458,0.5880000000,4.6628970210
2003.10.29.18.49.46,0.1368921488,0.1368921488,0.5910000000,4.5663767325
2003.10.29.18.59.46,0.1386670827,0.1386670827,0.5980000000,4.8480154097
2003.10.29.19.09.46,0.1362383478,0.1362383478,0.6150000000,4.6941806454
2003.10.29.19.19.46,0.1366355491,0.1366355491,0.6080000000,4.8893277097
2003.10.29.19.29.46,0.1383733856,0.1383733856,0.6250000000,4.5705162073
2003.10.29.19.39.46,0.1375090672,0.1375090672,0.6180000000,4.6914006953
2003.10.29.19.49.46,0.1373141128,0.1373141128,0.6540000000,5.1022439085
2003.10.29.19.59.46,0.1379406416,0.1379406416,0.5590000000,4.6747488331
2003.10.29.20.09.46,0.1376600462,0.1376600462,0.5050000000,4.7983950145
2003.10.29.20.19.46,0.1368858520,0.1368858520,0.6030000000,4.6610004325
2003.10.29.20.29.46,0.1376474068,0.1376474068,0.5930000000,4.6160262508
2003.10.29.20.39.46,0.1368189495,0.1368189495,0.4860000000,4.2444269198
2003.10.29.20.49.46,0.1381866748,0.1381866748,0.5810000000,4.5468354097
2003.10.29.20.59.46,0.1380962125,0.1380962125,0.5400000000,4.2999505478
2003.10.29.21.09.46,0.1384192449,0.1384192449,0.5930000000,4.6724399907
2003.10.29.21.19.46,0.1374024324,0.1374024324,0.6370000000,4.5382533015
2003.10.29.21.29.46,0.1385785894,0.1385785894,0.6490000000,4.7505807071
2003.10.29.21.39.46,0.1372717384,0.1372717384,0.5540000000,4.5402494630
2003.10.29.21.49.46,0.1378313488,0.1378313488,0.5490000000,4.6948979304
2003.10.29.21.59.46,0.1379237306,0.1379237306,0.5830000000,4.4123111139
2003.10.29.22.09.46,0.1378691642,0.1378691642,0.5760000000,4.5333323233
2003.10.29.22.19.46,0.1371604559,0.1371604559,0.6640000000,4.4924013153
2003.10.29.22.29.46,0.1386255687,0.1386255687,0.5980000000,4.7071219515
2003.10.29.22.39.46,0.1375287653,0.1375287653,0.5760000000,4.7231388318
2003.10.29.22.49.46,0.1374110600,0.1374110600,0.5740000000,4.2448585161
2003.10.29.22.59.46,0.1374146671,0.1374146671,0.5740000000,4.3810012495
2003.10.29.23.09.46,0.1384705720,0.1384705720,0.6470000000,4.6445751919
2003.10.29.23.19.46,0.1375590205,0.1375590205,0.5860000000,4.6605986059
2003.10.29.23.29.46,0.1380613205,0.1380613205,0.5400000000,4.4820806690
2003.10.29.23.39.46,0.1379457054,0.1379457054,0.5810000000,4.6507073686
2003.10.29.23.49.46,0.1376849757,0.1376849757,0.5030000000,4.3832585468
2003.10.29.23.59.46,0.1378640509,0.1378640509,0.5440000000,4.5001830459
2003.10.30.00.09.46,0.1377861047,0.1377861047,0.5590000000,4.5714052604
2003.10.30.00.19.46,0.1379833711,0.1379833711,0.5470000000,4.3881320217
2003.10.30.00.29.46,0.1389177201,0.1389177201,0.4910000000,4.3826946399
2003.10.30.00.39.46,0.1372316568,0.1372316568,0.6010000000,4.5988679194
2003.10.30.00.49.46,0.1374077325,0.1374077325,0.5350000000,4.7094435446
2003.10.30.00.59.46,0.1385900422,0.1385900422,0.5810000000,4.5501264201
2003.10.30.01.09.46,0.1375938888,0.1375938888,0.7370000000,5.1691516845
2003.10.30.01.19.46,0.1379039323,0.1379039323,0.6350000000,4.6764613817
2003.10.30.01.29.46,0.1381767433,0.1381767433,0.6320000000,4.7497519285
2003.10.30.01.39.46,0.1376962648,0.1376962648,0.5740000000,4.4880847327
2003.10.30.01.49.46,0.1384567800,0.1384567800,0.5540000000,4.6022853886
2003.10.30.01.59.46,0.1386441604,0.1386441604,0.5620000000,4.1938317638
2003.10.30.02.09.46,0.1379976453,0.1379976453,0.4930000000,4.1888523987
2003.10.30.02.19.46,0.1375548713,0.1375548713,0.5440000000,4.3487578246
2003.10.30.02.29.46,0.1385177196,0.1385177196,0.5050000000,4.2384700712
2003.10.30.02.39.46,0.1383217236,0.1383217236,0.6180000000,4.6620609233
2003.10.30.02.49.46,0.1373112042,0.1373112042,0.5030000000,4.6021951694
2003.10.30.02.59.46,0.1378689790,0.1378689790,0.6150000000,4.6940777909
2003.10.30.03.09.46,0.1373744937,0.1373744937,0.5370000000,4.5011716566
2003.10.30.03.19.46,0.1377682520,0.1377682520,0.5220000000,4.4459726615
2003.10.30.03.29.46,0.1395269796,0.1395269796,0.6370000000,4.5543282009
2003.10.30.03.39.46,0.1384046813,0.1384046813,0.5790000000,4.6332604167
2003.10.31.00.09.46,0.1397984866,0.1397984866,0.6450000000,5.0514929947
2003.10.31.00.19.46,0.1405246632,0.1405246632,0.6010000000,5.2343087077
2003.10.31.00.29.46,0.1395341209,0.1395341209,0.5960000000,4.7109894571
2003.10.31.00.39.46,0.1397238942,0.1397238942,0.5980000000,5.0402664562
2003.10.31.00.49.46,0.1387731539,0.1387731539,0.6300000000,5.1646723833
2003.10.31.00.59.46,0.1409533441,0.1409533441,0.5910000000,5.5177562451
2003.10.31.01.09.46,0.1409593331,0.1409593331,0.6320000000,5.1274092941
2003.10.31.01.19.46,0.1403205667,0.1403205667,0.6420000000,4.9446062825
2003.10.31.01.29.46,0.1404241700,0.1404241700,0.5470000000,5.1887202611
2003.10.31.01.39.46,0.1400976400,0.1400976400,0.6690000000,5.6934871784
2003.10.31.01.49.46,0.1416522899,0.1416522899,0.5910000000,5.9526668414
2003.10.31.01.59.46,0.1394631633,0.1394631633,0.6100000000,4.8514860257
2003.10.31.02.09.46,0.1395181067,0.1395181067,0.5660000000,5.1374329176
2003.10.31.02.19.46,0.1407236468,0.1407236468,0.6420000000,5.3080442695
2003.10.31.02.29.46,0.1398450815,0.1398450815,0.6230000000,5.4395288639
2003.10.31.02.39.46,0.1402554674,0.1402554674,0.6420000000,5.2232396350
2003.10.31.02.49.46,0.1412407901,0.1412407901,0.6010000000,5.3213208305
2003.10.31.02.59.46,0.1416663432,0.1416663432,0.7010000000,5.9013117286
2003.10.31.03.09.46,0.1397787186,0.1397787186,0.5790000000,5.2238235448
2003.10.31.03.19.46,0.1398624888,0.1398624888,0.7150000000,4.6930467428
2003.10.31.03.29.46,0.1415738284,0.1415738284,0.6960000000,5.6777945808
2003.10.31.03.39.46,0.1398458059,0.1398458059,0.6180000000,5.1239961101
2003.10.31.03.49.46,0.1404924394,0.1404924394,0.6860000000,5.0901522843
2003.10.31.03.59.46,0.1418518666,0.1418518666,0.6130000000,4.9696093219
2003.10.31.04.09.46,0.1482511900,0.1482511900,0.5880000000,5.2843826718
2003.10.31.04.19.46,0.1387326349,0.1387326349,0.6910000000,4.9167548775
2003.10.31.04.29.46,0.1384282892,0.1384282892,0.5620000000,4.6833697526
2003.10.31.04.39.46,0.1412803557,0.1412803557,0.6270000000,5.7373357170
2003.10.31.04.49.46,0.1400490429,0.1400490429,0.5740000000,4.9021374325
2003.10.31.04.59.46,0.1401509350,0.1401509350,0.6100000000,4.9459338935
2003.10.31.05.09.46,0.1395691928,0.1395691928,0.6230000000,4.7799618477
2003.10.31.05.19.46,0.1419418369,0.1419418369,0.6690000000,5.9424864514
2003.10.31.05.29.46,0.1400019083,0.1400019083,0.6130000000,4.9154752768
2003.10.31.05.39.46,0.1399624025,0.1399624025,0.5520000000,4.8995658585
2003.10.31.05.49.46,0.1496426345,0.1496426345,0.5660000000,5.0179533501
2003.10.31.05.59.46,0.1410337092,0.1410337092,0.5910000000,4.9099563629
2003.10.31.06.09.46,0.1406257415,0.1406257415,0.6590000000,5.2095513740
2003.10.31.06.19.46,0.1406984442,0.1406984442,0.5660000000,5.0058747843
2003.10.31.06.29.46,0.1410932849,0.1410932849,0.6790000000,4.9947811784
2003.10.31.06.39.46,0.1404111581,0.1404111581,0.7150000000,5.1988261892
2003.10.31.06.49.46,0.1406957950,0.1406957950,0.7710000000,5.5807836392
2003.10.31.06.59.46,0.1420060214,0.1420060214,0.7150000000,5.6662953880
2003.10.31.07.09.46,0.1404089724,0.1404089724,0.6100000000,5.3650662381
2003.10.31.07.19.46,0.1402868450,0.1402868450,0.5740000000,4.6905588479
2003.10.31.07.29.46,0.1399313866,0.1399313866,0.5790000000,5.0688122653
2003.10.31.07.39.46,0.1389422937,0.1389422937,0.6010000000,5.1459991234
2003.10.31.07.49.46,0.1420929742,0.1420929742,0.6450000000,5.8587815888
2003.10.31.07.59.46,0.1407042827,0.1407042827,0.6200000000,5.2285636981
2003.10.31.08.09.46,0.1391762030,0.1391762030,0.6230000000,5.1278863698
2003.10.31.08.19.46,0.1405383964,0.1405383964,0.5790000000,5.2444249477
2003.10.31.08.29.46,0.1385545248,0.1385545248,0.6250000000,4.8475066625
2003.10.31.08.39.46,0.1398313863,0.1398313863,0.5910000000,4.9169921255
2003.10.31.08.49.46,0.1400283614,0.1400283614,0.5400000000,5.1605596494
2003.10.31.08.59.46,0.1418601945,0.1418601945,0.6540000000,5.3985878552
2003.10.31.09.09.46,0.1402262179,0.1402262179,0.5440000000,4.8963992024
2003.10.31.09.19.46,0.1390516916,0.1390516916,0.5790000000,4.8725479684
2003.10.31.09.29.46,0.1404327488,0.1404327488,0.7370000000,4.9896736537
2003.10.31.09.39.46,0.1410211221,0.1410211221,0.6930000000,5.3363239010
2003.10.31.09.49.46,0.1399254006,0.1399254006,0.5250000000,4.5852395121
2003.10.31.09.59.46,0.1409341205,0.1409341205,0.5910000000,4.7562834786
2003.10.31.10.09.46,0.1390067386,0.1390067386,0.5570000000,4.4769042035
2003.10.31.12.05.51,0.1393317080,0.1393317080,0.6710000000,4.8865247732
2003.10.31.12.11.44,0.1409758592,0.1409758592,0.5570000000,4.6390949726
2003.10.31.12.21.44,0.1418403465,0.1418403465,0.6540000000,5.1720311916
2003.10.31.12.31.44,0.1415541209,0.1415541209,0.6200000000,5.3078555692
2003.10.31.12.41.44,0.1416154754,0.1416154754,0.5590000000,5.0268071730
2003.10.31.12.51.44,0.1410001953,0.1410001953,0.6840000000,4.8023501631
2003.10.31.13.01.44,0.1420508933,0.1420508933,0.5440000000,4.7928442466
2003.10.31.13.11.44,0.1418536744,0.1418536744,0.5420000000,4.5745401591
2003.10.31.13.21.44,0.1413447166,0.1413447166,0.5540000000,4.8629135931
2003.10.31.13.31.44,0.1406673190,0.1406673190,0.5660000000,5.1818888651
2003.10.31.13.41.44,0.1407747076,0.1407747076,0.6760000000,4.9640514234
2003.10.31.13.51.44,0.1403020049,0.1403020049,0.5930000000,5.4163058216
2003.10.31.14.01.44,0.1404197448,0.1404197448,0.5790000000,4.7660019338
2003.10.31.14.11.44,0.1409053199,0.1409053199,0.5980000000,4.8553653243
2003.10.31.14.21.44,0.1404552781,0.1404552781,0.5370000000,4.5762194093
2003.10.31.14.31.44,0.1404469281,0.1404469281,0.5590000000,4.4139264462
2003.10.31.14.41.44,0.1406430751,0.1406430751,0.5860000000,4.9833040123
2003.10.31.14.51.44,0.1395472023,0.1395472023,0.6790000000,5.2556988500
2003.10.31.15.01.44,0.1411941806,0.1411941806,0.5590000000,4.6053878618
2003.10.31.15.11.44,0.1417434362,0.1417434362,0.6100000000,5.1749725868
2003.10.31.15.21.44,0.1403456035,0.1403456035,0.5690000000,4.6657858427
2003.10.31.15.31.44,0.1402356764,0.1402356764,0.5320000000,4.8878696069
2003.10.31.15.41.44,0.1415096010,0.1415096010,0.5710000000,4.8039275112
2003.10.31.15.51.44,0.1398476452,0.1398476452,0.5350000000,4.6065960127
2003.10.31.16.01.44,0.1392980582,0.1392980582,0.5490000000,4.6847049702
2003.10.31.16.11.44,0.1412279402,0.1412279402,0.6010000000,5.4358316234
2003.10.31.16.21.44,0.1406249536,0.1406249536,0.7860000000,5.8676259846
2003.10.31.16.31.44,0.1402013661,0.1402013661,0.6050000000,5.3987108814
2003.10.31.16.41.44,0.1418601877,0.1418601877,0.5660000000,4.9380015373
2003.10.31.16.51.44,0.1405747000,0.1405747000,0.5740000000,4.8005984517
2003.10.31.17.01.44,0.1419355893,0.1419355893,0.7100000000,5.3685561015
2003.10.31.17.11.44,0.1419087481,0.1419087481,0.6250000000,4.9069711151
2003.10.31.17.21.44,0.1408253724,0.1408253724,0.5860000000,5.1135056481
2003.10.31.17.31.44,0.1408182410,0.1408182410,0.6080000000,5.5138965665
2003.10.31.17.41.44,0.1420358295,0.1420358295,0.5570000000,5.1096287876
2003.10.31.17.51.44,0.1414697697,0.1414697697,0.6300000000,5.7448440537
2003.10.31.18.01.44,0.1413486556,0.1413486556,0.5520000000,5.1299551538
2003.10.31.18.11.44,0.1423653191,0.1423653191,0.5830000000,4.9603170774
2003.10.31.18.21.44,0.1406742518,0.1406742518,0.5660000000,4.8809643663
2003.10.31.18.31.44,0.1414320054,0.1414320054,0.5830000000,5.2942286447
2003.10.31.18.41.44,0.1422788173,0.1422788173,0.6320000000,5.1211720226
2003.10.31.18.51.44,0.1410649353,0.1410649353,0.6180000000,5.8541246858
2003.10.31.19.01.44,0.1410670427,0.1410670427,0.6520000000,6.2329711897
2003.10.31.19.11.44,0.1412467351,0.1412467351,0.6740000000,5.0429647146
